Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
03:00:00 - 03:59:59,47.83,46.83,36.49,36.50,29.50,34.33,43.50,33.00,57.50,40.33,41.49,36.83,45.00,40.00,33.83,55.00,53.00,33.00,743.96
04:00:00 - 04:59:59,47.83,57.83,37.00,92.98,83.66,81.83,80.66,82.99,62.49,33.33,62.83,85.66,67.83,79.83,80.83,66.33,33.50,60.83,"1,198.24"
05:00:00 - 05:59:59,115.49,145.16,68.66,322.31,318.29,287.47,268.82,303.81,174.82,81.50,285.98,277.98,275.65,270.98,283.96,163.32,87.83,264.32,"3,996.35"
06:00:00 - 06:59:59,346.44,430.27,207.98,937.69,978.35,928.69,946.21,968.84,444.44,200.80,903.35,957.38,964.23,951.70,949.21,423.93,220.31,994.83,"12,754.65"
07:00:00 - 07:59:59,432.78,627.79,217.81,"1,866.01","1,787.84","1,817.49","1,752.35","1,883.01",655.94,245.29,"1,809.81","1,878.43","1,878.54","1,841.04","1,822.21",723.74,207.65,"1,873.61","23,321.34"
08:00:00 - 08:59:59,515.29,773.45,247.49,"1,699.32","1,806.26","1,728.95","1,622.96","1,684.97",904.41,298.82,"1,701.80","1,713.81","1,664.12","1,705.66","1,767.78",850.91,268.64,"1,760.94","22,715.58"
09:00:00 - 09:59:59,499.47,884.44,329.97,"1,362.36","1,414.88","1,407.03","1,387.04","1,410.19","1,010.59",501.29,"1,343.06","1,303.23","1,383.23","1,441.99","1,369.38",932.91,349.99,"1,462.05","19,793.10"
10:00:00 - 10:59:59,636.80,960.94,527.79,"1,285.87","1,354.04","1,337.55","1,375.36","1,327.04","1,156.70",986.77,"1,283.35","1,275.92","1,245.40","1,309.20","1,352.85","1,067.07",521.94,"1,322.87","20,327.46"
11:00:00 - 11:59:59,728.27,987.39,616.30,"1,314.84","1,279.88","1,289.05","1,345.56","1,335.23","1,293.86","1,243.90","1,216.90","1,145.23","1,218.40","1,294.54","1,331.89","1,181.60",673.45,"1,368.71","20,865.00"
12:00:00 - 12:59:59,641.60,845.56,543.11,"1,207.37","1,174.06","1,125.52","1,178.23","1,201.71","1,110.87",823.28,"1,159.69","1,160.74","1,205.06","1,206.21","1,319.51","1,042.44",609.94,"1,188.86","18,743.76"
13:00:00 - 13:59:59,606.26,805.57,523.96,"1,321.00","1,332.85","1,307.68","1,334.49","1,368.54",987.09,505.63,"1,305.53","1,271.71","1,212.41","1,292.32","1,387.67",960.85,512.77,"1,337.70","19,374.03"
14:00:00 - 14:59:59,666.96,934.37,602.42,"1,507.88","1,498.85","1,575.82","1,482.03","1,614.83","1,068.18",564.79,"1,480.81","1,314.91","1,511.87","1,487.69","1,553.66","1,104.60",647.12,"1,465.02","22,081.81"
15:00:00 - 15:59:59,732.28,963.08,794.42,"1,456.51","1,510.89","1,513.88","1,502.67","1,670.11","1,272.73",847.42,"1,448.70","1,368.73","1,458.22","1,574.86","1,669.02","1,193.42",793.93,"1,464.86","23,235.73"
16:00:00 - 16:59:59,851.56,"1,055.03",981.57,"1,537.71","1,502.71","1,552.21","1,715.84","1,851.90","1,290.53","1,119.56","1,516.00","1,448.26","1,562.74","1,593.39","1,701.47","1,246.35",959.72,"1,574.88","25,061.43"
17:00:00 - 17:59:59,839.38,985.73,"1,133.38","1,867.97","1,790.00","1,804.19","1,952.27","2,085.23","1,293.82","1,409.71","1,845.15","1,788.46","1,954.83","1,964.13","2,094.12","1,261.64","1,199.06","1,887.76","29,156.83"
18:00:00 - 18:59:59,857.26,"1,018.55","1,324.71","1,711.48","1,725.37","1,867.18","1,925.99","1,907.34","1,281.06","1,449.90","1,721.48","1,690.05","1,844.35","1,854.20","1,956.02","1,260.19","1,348.21","1,834.01","28,577.35"
19:00:00 - 19:59:59,695.28,751.28,"1,186.10",867.41,905.08,"1,046.41","1,019.75","1,114.04",912.12,"1,106.77",909.44,800.11,931.93,961.41,"1,155.08",892.27,"1,141.09",949.74,"17,345.31"
20:00:00 - 20:59:59,459.13,506.12,828.62,522.80,527.30,587.13,604.13,751.80,653.96,688.12,545.13,514.13,537.98,619.78,703.29,572.61,674.30,509.61,"10,805.94"
21:00:00 - 21:59:59,329.31,358.97,501.15,330.32,357.31,386.15,393.77,452.29,434.64,487.30,343.15,300.99,331.31,367.48,437.98,427.15,500.63,370.65,"7,110.55"
22:00:00 - 22:59:59,245.83,268.31,298.99,260.65,255.64,298.65,291.98,326.47,315.45,332.99,210.65,270.48,283.99,302.26,346.96,308.97,317.32,289.15,"5,224.74"
23:00:00 - 23:59:59,199.49,195.32,192.16,142.99,146.99,174.48,193.49,226.82,241.65,214.15,146.16,181.49,188.99,210.80,241.16,248.99,229.66,181.33,"3,556.12"
Total,"10,826.52","13,863.64","11,513.89","21,847.79","21,980.08","22,364.18","22,635.09","23,822.64","16,965.50","13,551.46","21,500.61","20,954.68","21,968.91","22,616.13","23,795.34","16,309.61","11,739.37","22,403.06","340,658.50"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4933 - Av. Assis Brasil 4935 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
ABR3AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
ABR3BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
ABR3CP,Faixa 3 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,167.53,116.08,150.10,85.45,103.79,115.61,95.61,134.10,152.57,172.20,110.43,113.29,104.77,127.09,75.96,168.76,176.26,108.79,"2,278.39"
01:00:00 - 01:59:59,78.80,84.29,105.96,58.14,57.48,46.48,76.30,52.81,102.29,108.64,60.31,56.47,58.82,63.49,76.79,104.78,108.13,65.81,"1,365.79"
02:00:00 - 02:59:59,63.81,65.15,64.30,37.16,42.82,36.99,29.33,38.16,76.46,80.30,37.99,37.66,37.50,47.31,49.82,83.98,70.65,38.82,938.21
03:00:00 - 03:59:59,58.80,44.83,51.82,27.32,29.00,27.99,37.99,36.82,55.33,52.82,37.48,34.33,27.99,33.15,45.98,72.98,57.16,31.99,763.78
04:00:00 - 04:59:59,51.16,57.48,41.16,36.16,39.33,24.16,30.83,37.32,57.99,37.48,33.16,28.50,40.16,35.33,34.16,40.83,56.16,36.16,717.53
05:00:00 - 05:59:59,74.32,87.16,51.33,86.47,94.32,68.65,88.65,86.65,86.83,49.32,76.82,90.32,77.49,77.32,90.99,86.83,40.98,93.82,"1,408.27"
06:00:00 - 06:59:59,163.10,173.43,111.63,325.74,302.93,287.44,297.25,273.10,209.10,122.97,308.42,315.79,287.61,320.75,303.75,196.61,124.96,327.77,"4,452.35"
07:00:00 - 07:59:59,312.73,379.39,239.93,715.85,729.70,743.85,736.01,738.34,413.91,249.78,749.82,735.19,761.20,760.37,732.33,381.76,256.57,778.80,"10,415.53"
08:00:00 - 08:59:59,367.81,432.09,209.14,768.98,823.88,785.51,781.49,783.99,539.38,265.45,795.38,781.39,815.90,803.03,810.32,546.07,240.30,818.67,"11,368.78"
09:00:00 - 09:59:59,476.10,562.74,277.94,791.97,895.61,851.64,822.27,909.29,699.37,442.09,822.02,881.01,859.14,863.09,880.63,675.57,307.30,859.80,"12,877.58"
