Intervalo de Datas: 01/03/2020 00:00:00 a 31/03/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00:00 - 01:59:59,252.13,109.47,76.64,102.80,94.14,139.79,230.79,335.09,106.49,98.96,98.14,113.98,175.45,229.73,283.26,72.65,72.48,95.15,74.81,70.62,77.64,,0.00,0.00,41.82,45.82,43.46,59.15,62.98,26.82,28.81,
02:00:00 - 02:59:59,164.80,64.99,55.16,74.65,62.49,87.99,172.14,209.64,75.32,46.99,59.16,68.82,94.48,156.80,231.81,46.00,54.16,49.16,52.83,52.82,42.16,,0.00,0.00,22.66,23.66,34.16,37.99,30.83,30.66,28.32,
03:00:00 - 03:59:59,134.81,48.99,43.15,48.50,66.15,68.65,126.82,143.47,42.33,55.99,61.33,49.15,82.32,114.48,165.99,43.50,50.48,48.99,41.99,49.83,17.50,,0.00,0.00,22.83,30.16,37.83,44.33,32.82,22.00,28.33,
04:00:00 - 04:59:59,77.15,100.33,81.98,105.32,92.32,106.99,128.97,135.66,78.32,78.65,87.82,71.66,93.81,121.98,139.48,62.33,77.99,82.48,55.81,60.32,0.00,,0.00,0.00,63.16,65.99,62.83,46.33,23.82,41.32,56.82,
05:00:00 - 05:59:59,122.83,208.45,210.47,201.44,204.63,221.14,205.14,155.47,223.78,220.29,215.62,217.80,226.44,207.28,157.30,229.44,224.95,189.13,179.28,189.30,0.00,,0.00,0.00,121.46,118.30,141.31,100.15,43.66,107.48,138.62,
06:00:00 - 06:59:59,235.11,900.97,885.97,876.93,907.45,888.44,532.36,262.11,934.94,911.25,871.29,915.46,871.94,509.85,271.60,862.84,802.12,796.61,778.60,697.47,0.00,,0.00,0.00,429.87,476.21,441.38,226.26,112.96,473.21,458.72,
07:00:00 - 07:59:59,352.73,"1,648.48","1,710.64","1,725.32","1,648.66","1,659.82",903.36,428.08,"1,631.82","1,719.00","1,756.73","1,721.00","1,681.34",898.36,399.75,"1,574.13","1,547.22","1,489.26","1,355.25","1,262.40",0.00,,0.00,0.00,743.49,746.68,774.67,373.41,199.42,853.33,852.66,
08:00:00 - 08:59:59,452.95,"1,328.70","1,360.96","1,370.83","1,424.95","1,423.67","1,105.82",580.10,"1,380.80","1,550.76","1,499.28","1,474.03","1,400.97","1,199.68",471.77,"1,298.86","1,270.98","1,254.00","1,136.19","1,095.70",0.00,,0.00,146.81,591.55,574.07,616.75,340.60,164.12,794.23,764.91,
09:00:00 - 09:59:59,621.24,"1,204.45","1,352.97","1,359.61","1,317.78","1,351.41","1,310.44",701.41,"1,284.25","1,347.61","1,314.63","1,419.57","1,386.14","1,337.47",616.44,"1,317.23","1,278.84","1,193.86","1,192.80","1,066.16",0.00,,271.61,19.00,657.90,681.91,640.55,466.26,232.45,655.25,668.05,
10:00:00 - 10:59:59,779.42,"1,229.11","1,270.90","1,245.91","1,267.96","1,402.58","1,316.12",935.02,"1,294.43","1,274.39","1,246.11","1,320.94","1,384.42","1,374.95",761.26,"1,161.32","1,206.99","1,179.67","1,143.63","1,079.65",0.00,,736.82,18.83,635.56,632.23,694.33,530.92,328.62,743.51,831.43,
