data,equipamento,endereco,horario,volume
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,224.15
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,468.12
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,445.30
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,458.64
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,467.12
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,452.98
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,353.29
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,275.82
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,303.74
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,452.80
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,465.98
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,291.42
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,442.61
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,297.64
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,256.49
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,460.47
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,422.48
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,449.29
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,385.27
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,446.13
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,235.15
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,152.16
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,307.32
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,292.65
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,278.64
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,241.14
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,244.66
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,06:00:00 - 06:59:59,168.31
