date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-24,RS,Doutor Ricardo,city,5,0,True,1983,4306759,252.14322,0.0
2020-06-24,RS,Eldorado do Sul,city,44,1,True,41285,4306767,106.57624,0.0227
2020-06-24,RS,Encantado,city,121,4,True,22706,4306809,532.89879,0.0331
2020-06-24,RS,Encruzilhada do Sul,city,25,1,True,25877,4306908,96.61089,0.04
2020-06-24,RS,Engenho Velho,city,1,0,True,1034,4306924,96.7118,0.0
2020-06-24,RS,Entre-Ijuís,city,19,0,True,8475,4306932,224.18879,0.0
2020-06-24,RS,Entre Rios do Sul,city,21,0,True,2792,4306957,752.149,0.0
2020-06-24,RS,Erebango,city,5,0,True,2991,4306973,167.16817,0.0
2020-06-24,RS,Erechim,city,471,3,True,105862,4307005,444.91886,0.0064
2020-06-24,RS,Ernestina,city,4,0,True,3168,4307054,126.26263,0.0
2020-06-24,RS,Erval Grande,city,12,0,True,4859,4307203,246.9644,0.0
2020-06-24,RS,Esmeralda,city,3,1,True,3282,4307401,91.40768,0.3333
2020-06-24,RS,Esperança do Sul,city,19,1,True,2926,4307450,649.35065,0.0526
2020-06-24,RS,Espumoso,city,17,1,True,15588,4307500,109.05825,0.0588
2020-06-24,RS,Estação,city,20,0,True,5958,4307559,335.68312,0.0
2020-06-24,RS,Estância Velha,city,46,0,True,50022,4307609,91.95954,0.0
2020-06-24,RS,Esteio,city,142,6,True,83202,4307708,170.66897,0.0423
2020-06-24,RS,Estrela,city,204,2,True,34116,4307807,597.9599,0.0098
2020-06-24,RS,Eugênio de Castro,city,0,0,True,2396,4307831,,0.0
2020-06-24,RS,Farroupilha,city,413,5,True,72331,4307906,570.98616,0.0121
2020-06-24,RS,Faxinal do Soturno,city,1,0,True,6677,4308003,14.97679,0.0
2020-06-24,RS,Faxinalzinho,city,25,0,True,2315,4308052,1079.91361,0.0
2020-06-24,RS,Fazenda Vilanova,city,8,0,True,4533,4308078,176.48356,0.0
2020-06-24,RS,Feliz,city,15,0,True,13547,4308102,110.72562,0.0
2020-06-24,RS,Flores da Cunha,city,66,1,True,30745,4308201,214.66905,0.0152
2020-06-24,RS,Floriano Peixoto,city,15,0,True,1766,4308250,849.37712,0.0
