Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT4EL,12:00 - 13:00,"537,7","412,1","510,0","559,5","583,9","560,6","624,3","567,0","432,3","527,2","533,3","562,2","560,2","604,6","584,5","450,4","546,9","636,9","610,5","611,3","664,0","485,4","318,4","311,3","282,4","517,7","608,7","569,9","525,2","15.298,3"
ANT4EL,13:00 - 14:00,"478,7","360,2","567,3","618,2","615,2","611,1","668,0","521,4","398,6","627,7","576,2","597,6","629,2","676,5","533,7","446,9","614,7","595,2","627,0","601,0","746,5","463,7","274,6","336,9","308,2","538,5","624,7","670,4","571,7","15.899,3"
ANT4EL,14:00 - 15:00,"492,2","336,5","581,9","644,3","600,8","615,7","636,5","560,9","404,2","654,5","658,3","626,9","641,3","650,9","583,3","420,6","631,8","639,2","680,8","663,8","733,1","464,2","279,1","331,0","364,6","569,2","591,0","613,5","508,3","16.178,6"
ANT4EL,15:00 - 16:00,"558,7","432,3","659,4","640,7","632,9","645,8","688,5","535,1","435,6","643,0","642,9","665,1","661,8","692,0","535,2","435,3","663,8","680,3","679,4","679,1","726,3","474,3","326,6","397,9","467,7","600,5","611,3","691,6","621,4","17.124,2"
ANT4EL,16:00 - 17:00,"547,2","481,3","687,6","659,2","723,5","760,2","728,3","607,1","547,7","675,5","650,7","692,0","697,3","765,3","578,0","466,4","711,8","715,3","696,5","726,3","761,6","453,1","359,8","436,1","428,6","586,7","651,7","689,6","518,8","18.003,0"
ANT4EL,17:00 - 18:00,"619,9","515,7","660,8","764,1","750,2","750,2","730,9","631,2","593,2","782,9","781,4","833,4","758,9","799,9","527,1","562,9","753,1","768,6","791,4","766,6","740,1","444,2","416,2","461,4","464,0","765,5","732,3","705,4","641,7","19.513,0"
ANT4EL,18:00 - 19:00,"619,5","611,6","680,4","696,3","718,8","771,5","704,4","606,7","628,7","751,5","729,3","748,0","765,8","679,7","562,0","652,3","662,0","772,5","748,7","737,5","685,6","453,4","467,9","481,5","497,7","687,6","716,2","749,6","652,1","19.238,9"
ANT4EL,19:00 - 20:00,"588,7","615,7","618,3","613,3","656,1","675,4","629,9","747,7","652,7","640,3","611,1","641,6","680,9","616,8","699,5","611,9","573,5","608,3","690,3","675,9","649,3","502,7","477,2","490,7","510,8","586,0","625,6","668,0","650,7","18.008,7"
ANT4EL,20:00 - 21:00,"554,5","580,9","530,5","592,0","585,0","613,7","621,0","655,9","576,1","561,0","493,7","588,3","560,3","587,0","672,5","581,1","531,4","576,3","614,0","594,0","547,8","434,9","374,9","364,7","403,1","465,0","533,5","664,5","610,7","16.068,1"
ANT4EL,21:00 - 22:00,"416,9","434,2","419,4","426,5","463,5","455,8","546,7","518,4","459,9","441,9","412,0","437,7","397,9","495,7","521,0","470,1","432,3","416,5","437,3","469,2","513,2","335,4","296,1","119,5","264,9","349,9","394,7","470,4","524,1","12.341,0"
ANT4EL,22:00 - 23:00,"366,3","350,6","319,4","357,9","399,4","393,0","461,7","425,8","385,4","363,3","487,5","363,2","362,9","399,1","396,1","350,2","343,4","405,2","380,4","397,2","383,9","295,1","225,8",0,"286,9","260,4","351,2","393,0","390,9","10.295,1"
ANT4EL,23:00 - 24:00,"307,4","279,4","273,1","278,2","260,5","322,9","332,9","373,2","271,9","249,9","265,1","278,4","314,7","305,6","338,4","294,9","237,4","275,4","258,3","276,9","299,2","206,1","161,8","2,0","203,1","221,3","261,6","317,9","341,8","7.809,5"
ANT4EL,Total grupo,"9.624,3","8.058,0","10.577,8","10.804,1","10.969,3","11.208,4","11.655,2","10.616,8","8.657,5","11.060,7","10.865,0","10.976,7","11.017,3","11.489,9","10.370,5","8.698,5","10.710,3","11.048,6","11.348,9","11.387,0","11.738,7","8.136,1","6.006,9","6.027,8","6.311,4","9.515,6","10.544,7","11.044,8","10.061,3","290.532,2"
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTONIO DE CARVALHO A 10M DO Nº 2079, S/N, FAIXA 2 DIREITA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT4FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT4FL,00:00 - 01:00,"132,8","150,3","83,0","84,8","64,2","75,2","75,3","121,6","179,3","92,8","79,0","85,0","89,5","104,5","141,0","159,4","85,1","70,6","68,3","94,8","104,1","121,3","87,0","57,5","63,1","63,2","165,1","81,1","116,6","2.895,2"
ANT4FL,01:00 - 02:00,"87,0","105,2","40,7","39,8","24,3","37,0","46,2","82,5","121,2","61,0","42,8","44,8","36,3","54,8","82,5","121,8","33,7","36,3","28,0","61,7","55,7","53,3","60,1","36,5","39,3","31,2","43,6","34,7","75,3","1.617,1"
ANT4FL,02:00 - 03:00,"41,0","73,8","22,2","13,8","14,5","19,2","17,0","58,7","67,3","19,3","16,0","22,7","14,8","29,2","50,0","71,5","29,2","27,2","17,8","26,5","22,5","41,2","29,0","22,7","20,3","21,0","20,8","18,0","50,7","897,6"
